Service_Code,Ministry,Department_Agency,Service_Family,Service_Category,Service_Name,Channel_Type,Service_Nature,Delivery_Mode,Digital_Platform,Legal_Basis,Target_Segment,Shared_Capabilities_Required,Lifecycle_Tag,Priority_Tier
TOU-CUL-002,Ministry of Tourism Wildlife and Heritage,State Department for Culture,"Tourism, Heritage & Sports",Culture and Creative Economy,Cultural Grants And Sponsorship Programmes,C2G/B2G,Entitlement-Based,Physical,Culture Systems,Culture Act,Creative sector,None,Citizen,Tier 2
TOU-CUL-003,Ministry of Tourism Wildlife and Heritage,State Department for Culture,"Tourism, Heritage & Sports",Culture and Creative Economy,Protection Of Intangible Cultural Heritage,G2G,Transactional,Physical,Culture Systems,UNESCO Conventions,Heritage safeguarding,Payments,Internal Government,Tier 3
ICT-DIG-001,Ministry of ICT Innovation and Digital Economy,State Department for ICT,Governance & Intergovernmental Coordination,Digital Government,Ecitizen Account Registration,C2G,Transactional,Online,eCitizen,eCitizen Legal Framework,Core digital ID for services,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
ICT-DIG-002,Ministry of ICT Innovation and Digital Economy,State Department for ICT,Governance & Intergovernmental Coordination,Digital Government,Government Digital Service Onboarding,G2G,Transactional,Physical,Digital Government Systems,Executive Order on Digital Government,MDAs onboarding,Payments,Internal Government,Tier 3
ICT-DIG-003,Ministry of ICT Innovation and Digital Economy,State Department for ICT,Governance & Intergovernmental Coordination,Digital Government,Digital Service Standards Compliance,G2G,Regulatory,Physical,Digital Government Systems,ICT Policy and Standards,Whole-of-government,None,Internal Government,Tier 3
ICT-COM-001,Ministry of ICT Innovation and Digital Economy,Communications Authority of Kenya,Business & Commercial Regulation,Communications Regulation,Telecommunications Operator Licensing,B2G,Regulatory,Online,CA Portal,Kenya Information and Communications Act,Telecom operators,"Identity, Notifications, Workflow",Business,Tier 2
ICT-COM-002,Ministry of ICT Innovation and Digital Economy,Communications Authority of Kenya,Business & Commercial Regulation,Communications Regulation,Radio Frequency Spectrum Assignment,B2G,Regulatory,Online,CA Portal,Kenya Information and Communications Act,Spectrum management,"Identity, Notifications, Workflow",Business,Tier 2
ICT-COM-003,Ministry of ICT Innovation and Digital Economy,Communications Authority of Kenya,Business & Commercial Regulation,Communications Regulation,Broadcasting Services Licensing,B2G,Regulatory,Online,CA Portal,Kenya Information and Communications Act,TV radio broadcasters,"Identity, Notifications, Workflow",Business,Tier 2
ICT-COM-004,Ministry of ICT Innovation and Digital Economy,Communications Authority of Kenya,Business & Commercial Regulation,Communications Regulation,Postal And Courier Licensing,B2G,Regulatory,Online,CA Portal,Kenya Information and Communications Act,Postal operators,"Identity, Notifications, Workflow",Business,Tier 2
ICT-COM-005,Ministry of ICT Innovation and Digital Economy,Communications Authority of Kenya,Business & Commercial Regulation,Communications Regulation,Ict Equipment Type Approval,B2G,Regulatory,Online,CA Portal,Kenya Information and Communications Act,Device compliance,"Identity, Notifications, Workflow",Business,Tier 2
ICT-DAT-001,Ministry of ICT Innovation and Digital Economy,Office of the Data Protection Commissioner,Business & Commercial Regulation,Data Protection,Data Controller And Processor Registration,B2G,Regulatory,Online,ODPC Portal,Data Protection Act,Privacy compliance,"Identity, Notifications, Workflow",Business,Tier 2
ICT-DAT-002,Ministry of ICT Innovation and Digital Economy,Office of the Data Protection Commissioner,Business & Commercial Regulation,Data Protection,Data Protection Impact Assessment Review,B2G,Regulatory,Online,ODPC Portal,Data Protection Act,High-risk processing,"Identity, Notifications, Workflow",Business,Tier 2
ICT-DAT-003,Ministry of ICT Innovation and Digital Economy,Office of the Data Protection Commissioner,Business & Commercial Regulation,Data Protection,Data Subject Complaints Handling,C2G,Informational,Hybrid,ODPC Systems,Data Protection Act,Rights enforcement,"Identity, Notifications, Workflow",Citizen,Tier 2
ICT-INO-001,Ministry of ICT Innovation and Digital Economy,State Department for Innovation,Governance & Intergovernmental Coordination,Innovation and Startups,Startup Registration And Recognition,B2G,Informational,Online,Startup Portal,Startup Bill/Policy,Innovation ecosystem,"Identity, Notifications, Workflow",Business,Tier 2
ICT-INO-002,Ministry of ICT Innovation and Digital Economy,State Department for Innovation,Governance & Intergovernmental Coordination,Innovation and Startups,Innovation Grants And Funding Programmes,C2G/B2G,Entitlement-Based,Physical,Innovation Systems,Innovation Policy,Entrepreneurs,None,Citizen,Tier 2
ICT-INO-003,Ministry of ICT Innovation and Digital Economy,State Department for Innovation,Governance & Intergovernmental Coordination,Innovation and Startups,Technology Hubs Accreditation,B2G,Regulatory,Online,Innovation Systems,Innovation Policy,Incubators hubs,"Identity, Notifications, Workflow",Business,Tier 2
ICT-CYB-001,Ministry of ICT Innovation and Digital Economy,National KE-CIRT/CC,Security & Public Safety,Cybersecurity,Incident Reporting And Response Coordination,B2G,Transactional,Online,KE-CIRT Systems,Kenya Information and Communications Act,Cyber incidents,"Payments, Identity, Notifications, Workflow",Business,Tier 2
ICT-CYB-002,Ministry of ICT Innovation and Digital Economy,National KE-CIRT/CC,Security & Public Safety,Cybersecurity,Critical Information Infrastructure Protection,G2G,Regulatory,Physical,KE-CIRT Systems,National Cybersecurity Strategy,National assets,None,Internal Government,Tier 3
AGR-CROP-001,Ministry of Agriculture and Livestock Development,State Department for Crop Development,Governance & Intergovernmental Coordination,Crop Development,Farmer Registration And Profiling,C2G,Entitlement-Based,Hybrid,Farmer Registry,Agriculture Act,Foundation registry,"Identity, Notifications, Workflow",Citizen,Tier 2
AGR-CROP-002,Ministry of Agriculture and Livestock Development,State Department for Crop Development,Governance & Intergovernmental Coordination,Crop Development,Farm Input Subsidy Enrollment,C2G,Entitlement-Based,Online,Subsidy Systems,Agriculture Act,Seeds fertilizer,"Identity, Notifications, Workflow",Citizen,Tier 2
AGR-CROP-003,Ministry of Agriculture and Livestock Development,State Department for Crop Development,Governance & Intergovernmental Coordination,Crop Development,Crop Production Licensing,B2G,Regulatory,Hybrid,Agriculture Systems,Agriculture Act,Commercial farming,"Identity, Notifications, Workflow",Business,Tier 2
AGR-CROP-004,Ministry of Agriculture and Livestock Development,State Department for Crop Development,Governance & Intergovernmental Coordination,Crop Development,Crop Pest And Disease Control Services,C2G/B2G,Informational,Physical,Extension Services,Agriculture Act,Extension support,None,Citizen,Tier 2
AGR-LIV-001,Ministry of Agriculture and Livestock Development,State Department for Livestock,Governance & Intergovernmental Coordination,Livestock Development,Livestock Registration And Identification,C2G/B2G,Entitlement-Based,Hybrid,Livestock Systems,Animal Diseases Act,Traceability,"Identity, Notifications, Workflow",Citizen,Tier 2
AGR-LIV-002,Ministry of Agriculture and Livestock Development,State Department for Livestock,Governance & Intergovernmental Coordination,Livestock Development,Livestock Movement Permit,C2G/B2G,Regulatory,Online,Livestock Systems,Animal Diseases Act,Disease control,"Identity, Notifications, Workflow",Citizen,Tier 2
AGR-LIV-003,Ministry of Agriculture and Livestock Development,State Department for Livestock,Governance & Intergovernmental Coordination,Livestock Development,Veterinary Inspection And Certification,B2G,Regulatory,Hybrid,Veterinary Systems,Meat Control Act,Slaughter animals,"Identity, Notifications, Workflow",Business,Tier 2
AGR-LIV-004,Ministry of Agriculture and Livestock Development,State Department for Livestock,Governance & Intergovernmental Coordination,Livestock Development,Artificial Insemination Services,C2G,Informational,Physical,Extension Services,Agriculture Act,Breeding support,None,Citizen,Tier 2
AGR-VET-001,Ministry of Agriculture and Livestock Development,Directorate of Veterinary Services,Governance & Intergovernmental Coordination,Veterinary Services,Animal Disease Surveillance And Reporting,G2G,Transactional,Physical,Veterinary Systems,Animal Diseases Act,National surveillance,Payments,Internal Government,Tier 3
AGR-VET-002,Ministry of Agriculture and Livestock Development,Directorate of Veterinary Services,Governance & Intergovernmental Coordination,Veterinary Services,Animal Vaccination Campaigns,C2G,Entitlement-Based,Physical,Field Operations,Animal Diseases Act,Disease prevention,None,Citizen,Tier 2
AGR-VET-003,Ministry of Agriculture and Livestock Development,Directorate of Veterinary Services,Governance & Intergovernmental Coordination,Veterinary Services,Import And Export Of Animals Approval,B2G,Regulatory,Online,Veterinary Systems,Animal Diseases Act,Cross-border trade,"Identity, Notifications, Workflow",Business,Tier 2
AGR-PHY-001,Ministry of Agriculture and Livestock Development,Kenya Plant Health Inspectorate Service,Governance & Intergovernmental Coordination,Plant Health,Phytosanitary Certificate Issuance,B2G,Regulatory,Online,KEPHIS Portal,Plant Protection Act,Exports,"Identity, Notifications, Workflow",Business,Tier 2
AGR-PHY-002,Ministry of Agriculture and Livestock Development,Kenya Plant Health Inspectorate Service,Governance & Intergovernmental Coordination,Plant Health,Seed Certification And Variety Release,B2G,Regulatory,Online,KEPHIS Portal,Seeds and Plant Varieties Act,Seed sector,"Identity, Notifications, Workflow",Business,Tier 2
AGR-PHY-003,Ministry of Agriculture and Livestock Development,Kenya Plant Health Inspectorate Service,Governance & Intergovernmental Coordination,Plant Health,Import Permit For Plants And Plant Products,B2G,Regulatory,Online,KEPHIS Portal,Plant Protection Act,Imports,"Identity, Notifications, Workflow",Business,Tier 2
AGR-FIS-001,Ministry of Agriculture and Livestock Development,State Department for Fisheries,Governance & Intergovernmental Coordination,Fisheries and Blue Economy,Fishing Vessel Registration,B2G,Regulatory,Online,Fisheries Systems,Fisheries Management and Development Act,Marine inland,"Identity, Notifications, Workflow",Business,Tier 2
AGR-FIS-002,Ministry of Agriculture and Livestock Development,State Department for Fisheries,Governance & Intergovernmental Coordination,Fisheries and Blue Economy,Fish Movement And Export Certification,B2G,Regulatory,Online,Fisheries Systems,Fisheries Management and Development Act,Trade facilitation,"Identity, Notifications, Workflow",Business,Tier 2
AGR-FIS-003,Ministry of Agriculture and Livestock Development,State Department for Fisheries,Governance & Intergovernmental Coordination,Fisheries and Blue Economy,Aquaculture Licensing,B2G,Regulatory,Hybrid,Fisheries Systems,Fisheries Management and Development Act,Fish farming,"Identity, Notifications, Workflow",Business,Tier 2
AGR-FOOD-001,Ministry of Agriculture and Livestock Development,State Department for Crop Development,Governance & Intergovernmental Coordination,Food Security Programmes,Strategic Grain Reserve Management,G2G,Transactional,Physical,Food Security Systems,Agriculture Act,National reserves,Payments,Internal Government,Tier 3
AGR-FOOD-002,Ministry of Agriculture and Livestock Development,National Cereals and Produce Board,Governance & Intergovernmental Coordination,Food Security Programmes,Produce Marketing And Storage Services,C2G/B2G,Informational,Hybrid,NCPB Systems,Agriculture Act,Maize grains,"Identity, Notifications, Workflow",Citizen,Tier 2
WAT-RES-001,Ministry of Water Sanitation and Irrigation,Water Resources Authority,Environmental & Natural Resources,Water Resources Management,Water Abstraction Permit Application,B2G,Regulatory,Online,WRA Portal,Water Act,Surface and groundwater use,"Identity, Notifications, Workflow",Business,Tier 2
WAT-RES-002,Ministry of Water Sanitation and Irrigation,Water Resources Authority,Environmental & Natural Resources,Water Resources Management,Water Use Permit Renewal,B2G,Regulatory,Online,WRA Portal,Water Act,Periodic renewal,"Identity, Notifications, Workflow",Business,Tier 2
WAT-RES-003,Ministry of Water Sanitation and Irrigation,Water Resources Authority,Environmental & Natural Resources,Water Resources Management,Water Discharge Permit,B2G,Regulatory,Online,WRA Portal,Water Act,Effluent discharge,"Identity, Notifications, Workflow",Business,Tier 2
WAT-RES-004,Ministry of Water Sanitation and Irrigation,Water Resources Authority,Environmental & Natural Resources,Water Resources Management,Water Works Approval,B2G,Regulatory,Online,WRA Portal,Water Act,Dams boreholes intakes,"Identity, Notifications, Workflow",Business,Tier 2
WAT-RES-005,Ministry of Water Sanitation and Irrigation,Water Resources Authority,Environmental & Natural Resources,Water Resources Management,Water Resources Data Access And Reporting,C2G/B2G,Informational,Online,WRA Portal,Water Act,Hydrological data,"Identity, Notifications, Workflow",Citizen,Tier 2
WAT-WSB-001,Ministry of Water Sanitation and Irrigation,Water Services Regulatory Board,Environmental & Natural Resources,Water Services Regulation,Licensing Of Water Service Providers,B2G,Regulatory,Online,WASREB Portal,Water Act,Utilities licensing,"Identity, Notifications, Workflow",Business,Tier 2
WAT-WSB-002,Ministry of Water Sanitation and Irrigation,Water Services Regulatory Board,Environmental & Natural Resources,Water Services Regulation,Approval Of Water Tariffs,B2G,Regulatory,Physical,WASREB Systems,Water Act,Tariff setting,None,Business,Tier 2
WAT-WSB-003,Ministry of Water Sanitation and Irrigation,Water Services Regulatory Board,Environmental & Natural Resources,Water Services Regulation,Service Provision Performance Monitoring,G2G,Transactional,Physical,WASREB Systems,Water Act,Utility oversight,Payments,Internal Government,Tier 3
WAT-IRR-001,Ministry of Water Sanitation and Irrigation,National Irrigation Authority,Environmental & Natural Resources,Irrigation Development,Irrigation Scheme Enrollment,C2G/B2G,Entitlement-Based,Hybrid,Irrigation Systems,Irrigation Act,Smallholder schemes,"Identity, Notifications, Workflow",Citizen,Tier 2
WAT-IRR-002,Ministry of Water Sanitation and Irrigation,National Irrigation Authority,Environmental & Natural Resources,Irrigation Development,Irrigation Infrastructure Development Approvals,B2G,Transactional,Physical,Irrigation Systems,Irrigation Act,Public schemes,Payments,Business,Tier 2
WAT-IRR-003,Ministry of Water Sanitation and Irrigation,National Irrigation Authority,Environmental & Natural Resources,Irrigation Development,Irrigation Water Allocation Management,G2G,Transactional,Physical,Irrigation Systems,Irrigation Act,Water scheduling,Payments,Internal Government,Tier 3
WAT-SAN-001,Ministry of Water Sanitation and Irrigation,State Department for Water and Sanitation,Environmental & Natural Resources,Sanitation Services,Rural Sanitation Programme Enrollment,C2G,Entitlement-Based,Physical,Sanitation Systems,Public Health Act,Household sanitation,None,Citizen,Tier 2
WAT-SAN-002,Ministry of Water Sanitation and Irrigation,State Department for Water and Sanitation,Environmental & Natural Resources,Sanitation Services,Sewerage Infrastructure Development Requests,G2G,Transactional,Physical,Infrastructure Systems,Water Act,Urban sanitation,Payments,Internal Government,Tier 3
WAT-SAN-003,Ministry of Water Sanitation and Irrigation,State Department for Water and Sanitation,Environmental & Natural Resources,Sanitation Services,Faecal Sludge Management Regulation,B2G,Regulatory,Hybrid,Sanitation Systems,Public Health Act,Sanitation operators,"Identity, Notifications, Workflow",Business,Tier 2
WAT-UTIL-001,Ministry of Water Sanitation and Irrigation,Water Service Providers,Governance & Intergovernmental Coordination,Water Utilities Services,New Water Connection Application,C2G/B2G,Transactional,Hybrid,Utility Portals,Water Act,Household connections,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
WAT-UTIL-002,Ministry of Water Sanitation and Irrigation,Water Service Providers,Governance & Intergovernmental Coordination,Water Utilities Services,Water Billing And Payments,C2G/B2G,Transactional,Online,Utility Portals,Water Act,Recurring service,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
WAT-UTIL-003,Ministry of Water Sanitation and Irrigation,Water Service Providers,Governance & Intergovernmental Coordination,Water Utilities Services,Fault Reporting And Service Requests,C2G,Informational,Online,Utility Systems,Water Act,Customer support,"Identity, Notifications, Workflow",Citizen,Tier 2
DEV-IGR-001,Ministry of Devolution and ASALs,State Department for Devolution,Governance & Intergovernmental Coordination,Intergovernmental Relations,Intergovernmental Consultation And Coordination,G2G,Transactional,Physical,IGR Systems,Intergovernmental Relations Act,National–county coordination,Payments,Internal Government,Tier 3
DEV-IGR-002,Ministry of Devolution and ASALs,State Department for Devolution,Governance & Intergovernmental Coordination,Intergovernmental Relations,Transfer Of Functions Support To Counties,G2G,Transactional,Physical,Devolution Systems,Constitution of Kenya,Function transfer support,Payments,Internal Government,Tier 3
DEV-IGR-003,Ministry of Devolution and ASALs,State Department for Devolution,Governance & Intergovernmental Coordination,Intergovernmental Relations,Conditional Grant Administration,G2G,Transactional,Physical,IFMIS/Devolution Systems,Public Finance Management Act,Grant-funded services,Payments,Internal Government,Tier 3
DEV-IGR-004,Ministry of Devolution and ASALs,State Department for Devolution,Governance & Intergovernmental Coordination,Intergovernmental Relations,County Capacity Building Programmes,G2G,Entitlement-Based,Physical,Devolution Programmes,Devolution Policy,Institutional strengthening,None,Internal Government,Tier 3
DEV-ASAL-001,Ministry of Devolution and ASALs,State Department for ASALs,Governance & Intergovernmental Coordination,ASAL Development,Asal Development Programme Enrollment,C2G,Entitlement-Based,Physical,ASAL Systems,ASAL Policy,Targeted regions,None,Citizen,Tier 2
DEV-ASAL-002,Ministry of Devolution and ASALs,State Department for ASALs,Governance & Intergovernmental Coordination,ASAL Development,Drought Early Warning And Response Coordination,G2G,Transactional,Physical,NDMA Systems,NDMA Act,Disaster preparedness,Payments,Internal Government,Tier 3
DEV-ASAL-003,Ministry of Devolution and ASALs,State Department for ASALs,Governance & Intergovernmental Coordination,ASAL Development,Food Relief And Emergency Assistance,C2G,Entitlement-Based,Physical,Relief Systems,Disaster Management Framework,Shock response,None,Citizen,Tier 2
DEV-ASAL-004,Ministry of Devolution and ASALs,State Department for ASALs,Governance & Intergovernmental Coordination,ASAL Development,Resilience And Livelihood Support Programmes,C2G,Entitlement-Based,Physical,ASAL Systems,ASAL Policy,Community resilience,None,Citizen,Tier 2
DEV-NDMA-001,Ministry of Devolution and ASALs,National Drought Management Authority,Governance & Intergovernmental Coordination,Disaster Risk Management,Drought Monitoring And Reporting,G2G,Transactional,Physical,NDMA Systems,NDMA Act,Early warning,Payments,Internal Government,Tier 3
DEV-NDMA-002,Ministry of Devolution and ASALs,National Drought Management Authority,Governance & Intergovernmental Coordination,Disaster Risk Management,Emergency Cash Transfer Activation,C2G,Entitlement-Based,Physical,NDMA Systems,NDMA Act,Shock-responsive social protection,None,Citizen,Tier 2
DEV-NDMA-003,Ministry of Devolution and ASALs,National Drought Management Authority,Governance & Intergovernmental Coordination,Disaster Risk Management,Humanitarian Coordination And Appeals,G2G,Transactional,Physical,NDMA Systems,NDMA Act,Multi-agency coordination,Payments,Internal Government,Tier 3
PRE-EXE-001,Office of the President,Cabinet Office,Governance & Intergovernmental Coordination,Cabinet Affairs,Cabinet Memoranda Submission And Processing,G2G,Transactional,Physical,Cabinet Systems,Constitution of Kenya,Executive decision-making,Payments,Internal Government,Tier 3
PRE-EXE-002,Office of the President,Cabinet Office,Governance & Intergovernmental Coordination,Cabinet Affairs,Tracking Of Cabinet Decisions,G2G,Transactional,Physical,Cabinet Systems,Executive Procedures,Implementation oversight,Payments,Internal Government,Tier 3
PRE-EXE-003,Office of the President,Executive Office of the President,Governance & Intergovernmental Coordination,Executive Coordination,Inter-Ministerial Policy Coordination,G2G,Transactional,Physical,Executive Systems,Executive Authority,Cross-government alignment,Payments,Internal Government,Tier 3
PRE-SPP-001,Office of the President,State Department for Special Programmes,Governance & Intergovernmental Coordination,Special Programmes,Emergency Social Assistance Enrollment,C2G,Entitlement-Based,Physical,Special Programmes Systems,Executive Directives,Shock response,None,Citizen,Tier 2
PRE-SPP-002,Office of the President,State Department for Special Programmes,Governance & Intergovernmental Coordination,Special Programmes,Food Relief Distribution Coordination,C2G,Entitlement-Based,Physical,Relief Systems,Executive Directives,Humanitarian assistance,None,Citizen,Tier 2
PRE-SPP-003,Office of the President,State Department for Special Programmes,Governance & Intergovernmental Coordination,Special Programmes,Special Cash Transfer Programmes,C2G,Entitlement-Based,Physical,Payment Systems,Executive Directives,Vulnerable groups,None,Citizen,Tier 2
PRE-SPP-004,Office of the President,State Department for Special Programmes,Governance & Intergovernmental Coordination,Special Programmes,Programme Beneficiary Targeting And Validation,G2G,Transactional,Physical,Social Registry Systems,Executive Directives,Eligibility management,Payments,Internal Government,Tier 3
PRE-SEC-001,Office of the President,National Security Council Secretariat,Governance & Intergovernmental Coordination,National Security Coordination,National Security Policy Coordination,G2G,Transactional,Physical,Security Systems,National Security Council Act,Classified,Payments,Internal Government,Tier 3
PRE-SEC-002,Office of the President,National Security Council Secretariat,Governance & Intergovernmental Coordination,National Security Coordination,Crisis And Emergency Coordination,G2G,Transactional,Physical,Security Systems,National Security Council Act,National emergencies,Payments,Internal Government,Tier 3
PRE-PET-001,Office of the President,Office of the President,Governance & Intergovernmental Coordination,Public Participation and Petitions,Presidential Petitions Handling,C2G,Transactional,Hybrid,Petitions Systems,Constitution of Kenya,Citizen petitions,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
PRE-PET-002,Office of the President,Office of the President,Governance & Intergovernmental Coordination,Public Participation and Petitions,Public Complaints And Feedback Management,C2G,Informational,Hybrid,Feedback Systems,Executive Procedures,Citizen engagement,"Identity, Notifications, Workflow",Citizen,Tier 2
JUS-LEG-001,Ministry of Justice and Constitutional Affairs,Office of the Attorney General,Justice & Legal Services,Legal Services,Legal Advisory Services To Mdas,G2G,Transactional,Physical,OAG Systems,Office of the Attorney General Act,State legal advice,Payments,Internal Government,Tier 3
JUS-LEG-002,Ministry of Justice and Constitutional Affairs,Office of the Attorney General,Justice & Legal Services,Legal Services,Representation Of Government In Court,G2G,Transactional,Physical,OAG Systems,Office of the Attorney General Act,Civil litigation,Payments,Internal Government,Tier 3
JUS-LEG-003,Ministry of Justice and Constitutional Affairs,Office of the Attorney General,Justice & Legal Services,Legal Services,Review Of Contracts And Agreements,G2G,Transactional,Physical,OAG Systems,Office of the Attorney General Act,Government contracts,Payments,Internal Government,Tier 3
JUS-GAZ-001,Ministry of Justice and Constitutional Affairs,Government Printer,Justice & Legal Services,Legislation and Gazette Services,Publication Of Kenya Gazette,G2G,Informational,Online,Government Printer Portal,Government Printer Act,Official notices,"Identity, Notifications, Workflow",Internal Government,Tier 3
JUS-GAZ-002,Ministry of Justice and Constitutional Affairs,Government Printer,Justice & Legal Services,Legislation and Gazette Services,Printing Of Acts And Regulations,G2G,Informational,Hybrid,Government Printer Portal,Government Printer Act,Statutory instruments,"Identity, Notifications, Workflow",Internal Government,Tier 3
JUS-GAZ-003,Ministry of Justice and Constitutional Affairs,Government Printer,Justice & Legal Services,Legislation and Gazette Services,Certification Of Published Laws,C2G/B2G,Informational,Physical,Government Printer Offices,Government Printer Act,Authenticated copies,None,Citizen,Tier 2
JUS-ADR-001,Ministry of Justice and Constitutional Affairs,Judiciary Liaison Directorate,Justice & Legal Services,Alternative Dispute Resolution,State Mediation And Arbitration Support,C2G/B2G,Informational,Physical,ADR Centres,Arbitration Act,Dispute resolution,None,Citizen,Tier 2
JUS-ADR-002,Ministry of Justice and Constitutional Affairs,Judiciary Liaison Directorate,Justice & Legal Services,Alternative Dispute Resolution,Accreditation Of Mediators And Arbitrators,B2G,Regulatory,Hybrid,ADR Systems,Arbitration Act,Professional accreditation,"Identity, Notifications, Workflow",Business,Tier 2
JUS-LAD-001,Ministry of Justice and Constitutional Affairs,National Legal Aid Service,Justice & Legal Services,Legal Aid Services,Legal Aid Application,C2G,Transactional,Hybrid,NLAS Portal,Legal Aid Act,Indigent persons,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
JUS-LAD-002,Ministry of Justice and Constitutional Affairs,National Legal Aid Service,Justice & Legal Services,Legal Aid Services,Assignment Of Legal Aid Providers,G2G,Transactional,Physical,NLAS Systems,Legal Aid Act,Case allocation,Payments,Internal Government,Tier 3
JUS-LAD-003,Ministry of Justice and Constitutional Affairs,National Legal Aid Service,Justice & Legal Services,Legal Aid Services,Legal Aid Case Management,G2G,Transactional,Physical,NLAS Systems,Legal Aid Act,Case lifecycle,Payments,Internal Government,Tier 3
JUS-CON-001,Ministry of Justice and Constitutional Affairs,State Department for Constitutional Affairs,Justice & Legal Services,Constitutional Affairs,Constitutional Review Support Services,G2G,Transactional,Physical,Constitutional Systems,Constitution of Kenya,Policy reform,Payments,Internal Government,Tier 3
JUS-CON-002,Ministry of Justice and Constitutional Affairs,State Department for Constitutional Affairs,Justice & Legal Services,Constitutional Affairs,Civic Education On Constitution,C2G,Informational,Physical,Civic Education Programmes,Constitution of Kenya,Public awareness,None,Citizen,Tier 1
DEF-ADM-001,Ministry of Defence,Ministry of Defence,Security & Public Safety,Defence Administration,Defence Policy Formulation And Coordination,G2G,Transactional,Physical,MoD Systems,Kenya Defence Forces Act,Strategic policy,Payments,Internal Government,Tier 3
DEF-ADM-002,Ministry of Defence,Ministry of Defence,Security & Public Safety,Defence Administration,Defence Budget Planning And Execution,G2G,Transactional,Physical,IFMIS,Public Finance Management Act,Defence financing,Payments,Internal Government,Tier 3
DEF-REC-001,Ministry of Defence,Kenya Defence Forces,Security & Public Safety,Recruitment Services,Kenya Defence Forces Recruitment,C2G,Transactional,Hybrid,KDF Recruitment Portal,Kenya Defence Forces Act,Public recruitment,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
DEF-REC-002,Ministry of Defence,Kenya Defence Forces,Security & Public Safety,Recruitment Services,Officer Cadet Recruitment,C2G,Transactional,Hybrid,KDF Recruitment Portal,Kenya Defence Forces Act,Career entry,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
DEF-REC-003,Ministry of Defence,Kenya Defence Forces,Security & Public Safety,Recruitment Services,Specialist Cadre Recruitment,C2G,Transactional,Hybrid,KDF Recruitment Portal,Kenya Defence Forces Act,Technical roles,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
DEF-VET-001,Ministry of Defence,Department of Veterans Affairs,Security & Public Safety,Veterans Affairs,Veterans Registration And Identification,C2G,Transactional,Hybrid,Veterans Systems,Kenya Defence Forces Act,Veteran benefits,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
DEF-VET-002,Ministry of Defence,Department of Veterans Affairs,Security & Public Safety,Veterans Affairs,Veterans Pension And Benefits Processing,C2G,Transactional,Physical,Veterans Systems,Kenya Defence Forces Act,Post-service benefits,Payments,Citizen,Tier 2
DEF-VET-003,Ministry of Defence,Department of Veterans Affairs,Security & Public Safety,Veterans Affairs,Veterans Medical And Welfare Support,C2G,Informational,Physical,Veterans Facilities,Kenya Defence Forces Act,Social support,None,Citizen,Tier 2
DEF-PROC-001,Ministry of Defence,Ministry of Defence,Security & Public Safety,Defence Procurement,Defence Procurement Planning And Approvals,G2G,Transactional,Physical,Defence Procurement Systems,Public Procurement and Asset Disposal Act,Restricted procurement,Payments,Internal Government,Tier 3
DEF-PROC-002,Ministry of Defence,Ministry of Defence,Security & Public Safety,Defence Procurement,Defence Contract Management,G2G,Transactional,Physical,Defence Procurement Systems,Public Procurement and Asset Disposal Act,Contract lifecycle,Payments,Internal Government,Tier 3
DEF-EDU-001,Ministry of Defence,Defence Forces Training Institutions,Security & Public Safety,Defence Training,Military Training And Education Programmes,G2G,Informational,Physical,Training Systems,Kenya Defence Forces Act,Capacity building,None,Internal Government,Tier 3
FOR-CON-001,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Immigration & Border Management,Consular Services,Consular Assistance To Citizens Abroad,C2G,Informational,Hybrid,Embassies and Missions,Foreign Service Act,Citizen protection,"Identity, Notifications, Workflow",Citizen,Tier 2
FOR-CON-002,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Immigration & Border Management,Consular Services,Emergency Travel Document Issuance,C2G,Transactional,Hybrid,Embassies and Missions,Foreign Service Act,Lost passports,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
FOR-CON-003,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Immigration & Border Management,Consular Services,Authentication And Legalization Of Documents,C2G/B2G,Transactional,Hybrid,Consular Systems,Foreign Service Act,Use abroad,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
FOR-CON-004,Ministry of Foreign and Diaspora Affairs,State Department for Foreign Affairs,Immigration & Border Management,Consular Services,Repatriation Support Services,C2G,Informational,Hybrid,Consular Systems,Foreign Service Act,Distress cases,"Identity, Notifications, Workflow",Citizen,Tier 2
FOR-DIA-001,Ministry of Foreign and Diaspora Affairs,State Department for Diaspora Affairs,"Trade, Industry & Investment",Diaspora Affairs,Diaspora Registration And Profiling,C2G,Entitlement-Based,Online,Diaspora Portal,Diaspora Policy,Global registry,"Identity, Notifications, Workflow",Citizen,Tier 2
